thisN,thisTrialN,thisRepN,force_end_of_routine_if_pressed_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,force_advance_2.keys,force_end_of_routine_if_pressed_2.keys,phase_loop.thisRepN,phase_loop.thisTrialN,phase_loop.thisN,phase_loop.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,info_loop.thisRepN,info_loop.thisTrialN,info_loop.thisN,info_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Settings.started,Settings.stopped,exp_setting_logged,phase_0_name,phase_0_n_back_blocks,phase_0_trials_per_block,phase_0_num_blocks,phase_1_name,phase_1_n_back_blocks,phase_1_trials_per_block,phase_1_num_blocks,phase_2_name,phase_2_n_back_blocks,phase_2_trials_per_block,phase_2_num_blocks,phase_3_name,phase_3_n_back_blocks,phase_3_trials_per_block,phase_3_num_blocks,phase_4_name,phase_4_n_back_blocks,phase_4_trials_per_block,phase_4_num_blocks,phase_5_name,phase_5_n_back_blocks,phase_5_trials_per_block,phase_5_num_blocks,exp_num_phases,exp_iti_fixed,exp_iti_jitter_range,Information_about_block.started,text_2.started,force_advance.started,practice_indicator_sound.started,n_back_instructions.started,practice_indicator_sound.stopped,n_back_instructions.stopped,sound_to_match_if_0_back.started,sound_to_match_if_0_back.stopped,ir_zero_otherwise_press.started,text_2.stopped,ir_zero_otherwise_press.stopped,end_routine.started,press_to_continue_prompt.started,press_to_continue.started,Information_about_block.stopped,info_loop.end_routine.keys,info_loop.end_routine.rt,info_loop.end_routine.duration,info_loop.force_advance.keys,Countdown.started,text_countdown.started,force_end_of_routine_if_pressed_5.started,Countdown.stopped,block.force_end_of_routine_if_pressed_5.keys,n_back_trial.started,Intro.started,sound_1.started,key_resp.started,force_advance_2.started,audio_trigger_sent,text_iti_fixation.started,Intro.stopped,sound_1.stopped,audio_end_trigger_sent,text_iti_fixation.stopped,n_back_trial.stopped,phase_name,phase_display_name,phase_number,is_practice,participant_id,session,date,absolute_block_number,block_number_in_phase,n_back_level,block_type,trials_per_block,total_blocks_in_phase,trial_number_overall,trial_number_in_block,scorable_trial_number,is_baseline_trial,current_stimulus,target_stimulus,stimulus_frequency_hz,trial_type,is_match_trial,response_key,response_type,reaction_time_ms,reaction_time_s,correct,accuracy_binary,performance_category,hit,incorrect_rejection,miss_no_response_on_target,correct_rejection,false_alarm,no_response_on_non_target,running_accuracy,total_correct_so_far,scorable_trials_so_far,trial_onset_time,previous_stimulus_n1,previous_frequency_n1,previous_stimulus_n2,previous_frequency_n2,previous_stimulus_n3,previous_frequency_n3,num_responses,all_response_keys,all_response_times,iti_duration,iti_fixed_component,iti_jitter_component,stimulus_duration,total_trial_duration,response_period,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.force_advance_2.keys,Feedback_accuracy_RT.started,fb.started,rt_fb.started,Feedback_accuracy_RT.stopped,block_summary,block_final_accuracy,block_n_back_level,block_total_scorable_trials,block_total_correct,block_total_hits,block_total_incorrect_rejection,block_total_miss_no_response_on_target,block_total_misses,block_total_false_alarms,block_total_correct_rejections,block_total_no_response_on_non_target,block_hit_rate,block_false_alarm_rate,block_d_prime,Feedback_block.started,fb_2.started,force_end_of_routine_if_pressed_2.started,fb_sound.started,fb_sound.stopped,Feedback_block.stopped,block.force_end_of_routine_if_pressed_2.keys,text_countdown.stopped,response_time_into_iti,press_to_continue_prompt.stopped,exp_finished.started,text_instr.started,thank_you.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
46,0,46,None,['right'],1,[0.5707047919859178],[0.15062400000169873],None,,1,0,1,0,0,0,0,0,,,,,46,0,46,0,205.07865716703236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.07063533301698,205.07865716703236,205.08358283370424,205.07865716703236,205.07865716703236,True,205.81689462502254,205.81689462502254,205.8453224580153,True,208.06202662503347,208.06441354204435,main_0back,Main 0-back,2,0,082527_j_2.25,001,2026-02-04_14h40.32.795,2,1,0,0_back,60,1,47,47,47,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,right,target_response,570.7,0.5707,1,True,hit,1,0,0,0,0,0,1.0,47,47,2.99468041700311,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,570.7,2.25,2.25,0.0,0.75,3.0,during_stimulus,['right'],1,[0.5707047919859178],[0.15062400000169873],None,208.06686391704716,208.06961412500823,208.06961412500823,208.3019742500037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
47,0,47,None,['left'],1,[0.6490393339772709],[0.14795887499349192],None,,1,0,1,0,0,0,0,0,,,,,47,0,47,0,208.31196241703583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.30402329203207,208.31196241703583,208.31656820868764,208.31196241703583,208.31196241703583,True,209.05011162505252,209.05011162505252,209.07864666701062,True,211.29538654204225,211.2977383750258,main_0back,Main 0-back,2,0,082527_j_2.25,001,2026-02-04_14h40.32.795,2,1,0,0_back,60,1,48,48,48,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,649.04,0.649,1,True,correct_rejection,0,0,0,1,0,0,1.0,48,48,2.995019250025507,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,649.04,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.6490393339772709],[0.14795887499349192],None,211.2999749580049,211.3028887080145,211.3028887080145,211.5356554170139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
48,0,48,None,['right'],1,[0.3777302499511279],[0.11641766701359302],None,,1,0,1,0,0,0,0,0,,,,,48,0,48,0,211.54538879200118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.5373188330559,211.54538879200118,211.5500746666842,211.54538879200118,211.54538879200118,True,212.2834832080407,212.2834832080407,212.31188058300177,True,214.52871975000016,214.5310985420365,main_0back,Main 0-back,2,0,082527_j_2.25,001,2026-02-04_14h40.32.795,2,1,0,0_back,60,1,49,49,49,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,right,target_response,377.73,0.3777,1,True,hit,1,0,0,0,0,0,1.0,49,49,2.9946650409838185,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,377.73,2.25,2.25,0.0,0.75,3.0,during_stimulus,['right'],1,[0.3777302499511279],[0.11641766701359302],None,214.53338141704444,214.53626670804806,214.53626670804806,214.76898579200497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
49,0,49,None,['left'],1,[0.47912045900011435],[0.12716545799048617],None,,1,0,1,0,0,0,0,0,,,,,49,0,49,0,214.77859683305724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.77072937501362,214.77859683305724,214.78355529171338,214.77859683305724,214.77859683305724,True,215.51741870801197,215.51741870801197,215.54550237505464,True,217.76194104203023,217.7643693750142,main_0back,Main 0-back,2,0,082527_j_2.25,001,2026-02-04_14h40.32.795,2,1,0,0_back,60,1,50,50,50,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,479.12,0.4791,1,True,correct_rejection,0,0,0,1,0,0,1.0,50,50,2.994560791994445,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,479.12,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.47912045900011435],[0.12716545799048617],None,217.76687695801957,217.76975141704315,217.76975141704315,218.00235850003082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
50,0,50,None,['left'],1,[0.5878782920190133],[0.1332041659625247],None,,1,0,1,0,0,0,0,0,,,,,50,0,50,0,218.0120019170572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.00471891701454,218.0120019170572,218.01685024967108,218.0120019170572,218.0120019170572,True,218.74986400001217,218.74986400001217,218.77856833301485,True,220.99548833305016,220.99797104200115,main_0back,Main 0-back,2,0,082527_j_2.25,001,2026-02-04_14h40.32.795,2,1,0,0_back,60,1,51,51,51,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,587.88,0.5879,1,True,correct_rejection,0,0,0,1,0,0,1.0,51,51,2.9948234999901615,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,587.88,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.5878782920190133],[0.1332041659625247],None,221.00031541701173,221.00315500004217,221.00315500004217,221.23547600000165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
51,0,51,None,"['left', 'right']",0,"[0.4307332909666002, 0.8924742079689167]","[0.17677449999609962, 0.1563160420046188]",None,,1,0,1,0,0,0,0,0,,,,,51,0,51,0,221.24525366700254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.2372918750043,221.24525366700254,221.24998516671283,221.24525366700254,221.24525366700254,True,221.9833473750041,221.9833473750041,222.0119240830536,True,224.22870583302574,224.2311449580011,main_0back,Main 0-back,2,0,082527_j_2.25,001,2026-02-04_14h40.32.795,2,1,0,0_back,60,1,52,52,52,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,left,non_target_response,430.73,0.4307,0,False,incorrect_rejection,0,1,0,0,0,0,0.9808,51,52,2.9948482500039972,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,2,"['left', 'right']","[430.73, 892.47]",2.25,2.25,0.0,0.75,3.0,during_stimulus,"['left', 'right']",0,"[0.4307332909666002, 0.8924742079689167]","[0.17677449999609962, 0.1563160420046188]",None,224.24144058302045,224.2445510000107,224.2445510000107,224.46921050001401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
52,0,52,None,['left'],1,[0.939035875024274],[0.14027166599407792],None,,1,0,1,0,0,0,0,0,,,,,52,0,52,0,224.47858195804292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.4709904580377,224.47858195804292,224.48363174969953,224.47858195804292,224.47858195804292,True,225.2167753750109,225.2167753750109,225.24532187503064,True,227.46202162501868,227.46469975000946,main_0back,Main 0-back,2,0,082527_j_2.25,001,2026-02-04_14h40.32.795,2,1,0,0_back,60,1,53,53,53,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,939.04,0.939,1,True,correct_rejection,0,0,0,1,0,0,0.9811,52,53,2.994708415993955,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,939.04,2.25,2.25,0.0,0.75,3.0,during_iti,['left'],1,[0.939035875024274],[0.14027166599407792],None,227.4729914580239,227.47628104203613,227.47628104203613,227.70213962503476,,,,,,,,,,,,,,,,,,,,,,,,0.189,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
53,0,53,None,['right'],1,[0.48079100000904873],[0.1406708749709651],None,,1,0,1,0,0,0,0,0,,,,,53,0,53,0,227.71194850001484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.70391275000293,227.71194850001484,227.71675524971604,227.71194850001484,227.71194850001484,True,228.45003275002819,228.45003275002819,228.4786277920357,True,230.69536412501475,230.69768700003624,main_0back,Main 0-back,2,0,082527_j_2.25,001,2026-02-04_14h40.32.795,2,1,0,0_back,60,1,54,54,54,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,right,target_response,480.79,0.4808,1,True,hit,1,0,0,0,0,0,0.9815,53,54,2.994822832988575,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,480.79,2.25,2.25,0.0,0.75,3.0,during_stimulus,['right'],1,[0.48079100000904873],[0.1406708749709651],None,230.70141995802987,230.70428170805098,230.70428170805098,230.93528658302967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
54,0,54,None,['left'],1,[0.5660553749767132],[0.12797241599764675],None,,1,0,1,0,0,0,0,0,,,,,54,0,54,0,230.9452877920121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.93699554202612,230.9452877920121,230.94984699972363,230.9452877920121,230.9452877920121,True,231.6830885000527,231.6830885000527,231.7119181670132,True,233.9286811670172,233.93118854204658,main_0back,Main 0-back,2,0,082527_j_2.25,001,2026-02-04_14h40.32.795,2,1,0,0_back,60,1,55,55,55,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,566.06,0.5661,1,True,correct_rejection,0,0,0,1,0,0,0.9818,54,55,2.995091292017605,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,566.06,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.5660553749767132],[0.12797241599764675],None,233.93489087501075,233.93767612503143,233.93767612503143,234.16922262503067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
55,0,55,None,['left'],1,[0.7211069160257466],[0.15085420903051272],None,,1,0,1,0,0,0,0,0,,,,,55,0,55,0,234.17864850000478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.17106545803836,234.17864850000478,234.183726624706,234.17864850000478,234.17864850000478,True,234.9170592080336,234.9170592080336,234.94530408305582,True,237.16205937502673,237.16439954203088,main_0back,Main 0-back,2,0,082527_j_2.25,001,2026-02-04_14h40.32.795,2,1,0,0_back,60,1,56,56,56,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,721.11,0.7211,1,True,correct_rejection,0,0,0,1,0,0,0.9821,55,56,2.9944327079574578,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,721.11,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.7211069160257466],[0.15085420903051272],None,237.16814979200717,237.17099295801017,237.17099295801017,237.4023686250439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
56,0,56,None,['left'],1,[0.4294059589738026],[0.13673483300954103],None,,1,0,1,0,0,0,0,0,,,,,56,0,56,0,237.41191695805173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.404054292012,237.41191695805173,237.41685704171348,237.41191695805173,237.41191695805173,True,238.1495845420286,238.1495845420286,238.17860458302312,True,240.39538437500596,240.39775520801777,main_0back,Main 0-back,2,0,082527_j_2.25,001,2026-02-04_14h40.32.795,2,1,0,0_back,60,1,57,57,57,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,429.41,0.4294,1,True,correct_rejection,0,0,0,1,0,0,0.9825,56,57,2.9946363330236636,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,429.41,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.4294059589738026],[0.13673483300954103],None,240.40007895801682,240.40276462503243,240.40276462503243,240.63519749999978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
57,0,57,None,['right'],1,[0.47222287504700944],[0.1374928749864921],None,,1,0,1,0,0,0,0,0,,,,,57,0,57,0,240.6453535000328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.636849542032,240.6453535000328,240.64953783370245,240.6453535000328,240.6453535000328,True,241.37860579200787,241.38277775002643,241.4119565000292,True,243.61709258303745,243.63111512502655,main_0back,Main 0-back,2,0,082527_j_2.25,001,2026-02-04_14h40.32.795,2,1,0,0_back,60,1,58,58,58,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,right,target_response,472.22,0.4722,1,True,hit,1,0,0,0,0,0,0.9828,57,58,2.9951907079666853,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,472.22,2.25,2.25,0.0,0.75,3.0,during_stimulus,['right'],1,[0.47222287504700944],[0.1374928749864921],None,243.63368020800408,243.6365115000517,243.6365115000517,243.86911754205357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
58,0,58,None,['left'],1,[0.6382218749495223],[0.13922483299393207],None,,1,0,1,0,0,0,0,0,,,,,58,0,58,0,243.87859820801532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243.8707733330084,243.87859820801532,243.88369537471252,243.87859820801532,243.87859820801532,True,244.61661716701929,244.61661716701929,244.64528033300303,True,246.8620736670564,246.86507437500404,main_0back,Main 0-back,2,0,082527_j_2.25,001,2026-02-04_14h40.32.795,2,1,0,0_back,60,1,59,59,59,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,638.22,0.6382,1,True,correct_rejection,0,0,0,1,0,0,0.9831,58,59,2.994734416017309,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,638.22,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.6382218749495223],[0.13922483299393207],None,246.86736312502762,246.87032070802525,246.87032070802525,247.1018050420098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
59,0,59,None,['right'],1,[0.5553209579666145],[0.14955333404941484],None,,1,0,1,0,0,0,0,0,,,,,59,0,59,0,247.11196933302563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.10346654203022,247.11196933302563,247.11637395871028,247.11196933302563,247.11196933302563,True,247.8502630420262,247.8502630420262,247.8785908750142,True,250.09538279200206,250.09781591704814,main_0back,Main 0-back,2,0,082527_j_2.25,001,2026-02-04_14h40.32.795,2,1,0,0_back,60,1,60,60,60,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,right,target_response,555.32,0.5553,1,True,hit,1,0,0,0,0,0,0.9833,59,60,2.995182749989908,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,555.32,2.25,2.25,0.0,0.75,3.0,during_stimulus,['right'],1,[0.5553209579666145],[0.14955333404941484],None,250.10009908303618,250.1029582080082,250.1029582080082,250.33533966704272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
0,0,0,None,,,,,,None,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,main_0back,Main 0-back,,0,,001,2026-02-04_14h40.32.795,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.9833,0,60,59,19,1,0,1,0,40,0,0.95,0.0,3.9712,250.36138462502277,250.36509933305206,250.36509933305206,250.36671420833642,253.76190345804207,255.3307615830563,None,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
1,0,1,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2026-02-04_14h40.32.795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
0,0,0,None,None,1,,,None,,2,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,291.23681091703475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.3460656670504,275.3490746670286,275.3490746670286,275.3503513753608,277.6286425417095,277.6286728750565,288.61191666702507,285.1285719166665,285.8703217500006,285.9286636667132,287.0954406670062,286.6953883750248,289.3667187920073,289.37870512472387,289.3667187920073,290.23840783303604,right,0.7507668330217712,0.1172880829544738,None,290.24368366703857,290.2506754170172,290.2506754170172,291.2305357080186,None,291.2341004170012,291.23681091703475,291.2449809996799,291.23681091703475,291.23681091703475,True,291.97827916702954,291.98283025005367,292.01159500004724,True,294.2164085000404,294.2190770000452,practice_1back,Practice 1-back,3,0,082527_j_2.25,001,2026-02-04_14h40.32.795,3,1,1,1_back,5,1,1,1,0,1,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,N/A,880,baseline,None,none,no_response,None,None,N/A,N/A,baseline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2.987511250015814,N/A,N/A,N/A,N/A,N/A,N/A,0,none,None,2.25,2.25,0.0,0.75,3.0,no_response,None,1,,,None,294.23062270804076,294.2332748330082,294.2332748330082,294.4638226670213,,,,,,,,,,,,,,,,,,,,,,,,N/A,273.0661871250486,,,,,082527_j_2.25,001,2026-02-04_14h40.32.795,n-back,2024.2.4,None,2026-02-04 14h40.46.678993 -0800,
