thisN,thisTrialN,thisRepN,force_end_of_routine_if_pressed_5.keys,key_resp.keys,key_resp.corr,force_advance_2.keys,key_resp.rt,key_resp.duration,force_end_of_routine_if_pressed_2.keys,phase_loop.thisRepN,phase_loop.thisTrialN,phase_loop.thisN,phase_loop.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,info_loop.thisRepN,info_loop.thisTrialN,info_loop.thisN,info_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Settings.started,Settings.stopped,exp_setting_logged,phase_0_name,phase_0_n_back_blocks,phase_0_trials_per_block,phase_0_num_blocks,phase_1_name,phase_1_n_back_blocks,phase_1_trials_per_block,phase_1_num_blocks,phase_2_name,phase_2_n_back_blocks,phase_2_trials_per_block,phase_2_num_blocks,phase_3_name,phase_3_n_back_blocks,phase_3_trials_per_block,phase_3_num_blocks,phase_4_name,phase_4_n_back_blocks,phase_4_trials_per_block,phase_4_num_blocks,phase_5_name,phase_5_n_back_blocks,phase_5_trials_per_block,phase_5_num_blocks,exp_num_phases,exp_iti_fixed,exp_iti_jitter_range,Information_about_block.started,text_2.started,force_advance.started,practice_indicator_sound.started,n_back_instructions.started,practice_indicator_sound.stopped,sound_to_match_if_0_back.started,sound_to_match_if_0_back.stopped,ir_zero_otherwise_press.started,ir_zero_otherwise_press.stopped,text_2.stopped,n_back_instructions.stopped,end_routine.started,press_to_continue_prompt.started,press_to_continue.started,Information_about_block.stopped,info_loop.end_routine.keys,info_loop.end_routine.rt,info_loop.end_routine.duration,info_loop.force_advance.keys,Countdown.started,text_countdown.started,force_end_of_routine_if_pressed_5.started,Countdown.stopped,block.force_end_of_routine_if_pressed_5.keys,n_back_trial.started,Intro.started,sound_1.started,key_resp.started,force_advance_2.started,audio_trigger_sent,text_iti_fixation.started,Intro.stopped,sound_1.stopped,audio_end_trigger_sent,text_iti_fixation.stopped,n_back_trial.stopped,phase_name,phase_display_name,phase_number,is_practice,participant_id,session,date,absolute_block_number,block_number_in_phase,n_back_level,block_type,trials_per_block,total_blocks_in_phase,trial_number_overall,trial_number_in_block,scorable_trial_number,is_baseline_trial,current_stimulus,target_stimulus,stimulus_frequency_hz,trial_type,is_match_trial,response_key,response_type,reaction_time_ms,reaction_time_s,correct,accuracy_binary,performance_category,hit,incorrect_rejection,miss_no_response_on_target,correct_rejection,false_alarm,no_response_on_non_target,running_accuracy,total_correct_so_far,scorable_trials_so_far,trial_onset_time,previous_stimulus_n1,previous_frequency_n1,previous_stimulus_n2,previous_frequency_n2,previous_stimulus_n3,previous_frequency_n3,num_responses,all_response_keys,all_response_times,iti_duration,iti_fixed_component,iti_jitter_component,stimulus_duration,total_trial_duration,response_period,response_time_into_iti,trials.key_resp.keys,trials.key_resp.corr,trials.force_advance_2.keys,Feedback_accuracy_RT.started,fb.started,rt_fb.started,Feedback_accuracy_RT.stopped,trials.key_resp.rt,trials.key_resp.duration,block_summary,block_final_accuracy,block_n_back_level,block_total_scorable_trials,block_total_correct,block_total_hits,block_total_incorrect_rejection,block_total_miss_no_response_on_target,block_total_misses,block_total_false_alarms,block_total_correct_rejections,block_total_no_response_on_non_target,block_hit_rate,block_false_alarm_rate,block_d_prime,Feedback_block.started,fb_2.started,force_end_of_routine_if_pressed_2.started,fb_sound.started,fb_sound.stopped,Feedback_block.stopped,block.force_end_of_routine_if_pressed_2.keys,exp_finished.started,text_instr.started,thank_you.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
42,0,42,None,['left'],1,None,[1.0150841250433587],[0.11217116698389873],,1,0,1,0,0,0,0,0,,,,,42,0,42,0,148.2137092500343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.20618179201847,148.2137092500343,148.21890495869255,148.2137092500343,148.2137092500343,True,148.9521206250065,148.9521206250065,148.9801940000034,True,150.19694408302894,150.19927741703577,main_2back,Main 2-back,2,0,929519_s_1.25,001,2026-02-05_15h54.57.894,2,1,2,2_back,60,1,43,43,41,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,non-target,False,left,non_target_response,1015.08,1.0151,1,True,correct_rejection,0,0,0,1,0,0,0.878,36,41,1.9940747499931604,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,1015.08,1.25,1.25,0.0,0.75,2.0,during_iti,0.2651,['left'],1,None,150.20182083302643,150.20449783303775,150.20449783303775,150.4376504170359,[1.0150841250433587],[0.11217116698389873],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
43,0,43,None,['right'],1,None,[0.7107236250303686],[0.08425995899597183],,1,0,1,0,0,0,0,0,,,,,43,0,43,0,150.44699479202973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.43930208298843,150.44699479202973,150.45212395867955,150.44699479202973,150.44699479202973,True,151.18042154202703,151.1857640829985,151.21363833302166,True,152.41870258300332,152.43283729202813,main_2back,Main 2-back,2,0,929519_s_1.25,001,2026-02-05_15h54.57.894,2,1,2,2_back,60,1,44,44,42,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,target,True,right,target_response,710.72,0.7107,1,True,hit,1,0,0,0,0,0,0.881,37,42,1.9943920420482755,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,710.72,1.25,1.25,0.0,0.75,2.0,during_stimulus,,['right'],1,None,152.435445583018,152.43841350002913,152.43841350002913,152.67083308304427,[0.7107236250303686],[0.08425995899597183],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
44,0,44,None,['left'],1,None,[0.6882960419752635],[0.0991423330269754],,1,0,1,0,0,0,0,0,,,,,44,0,44,0,152.68042779201642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.67261670803418,152.68042779201642,152.68523045868304,152.68042779201642,152.68042779201642,True,153.41879195801448,153.41879195801448,153.44700208300492,True,154.66365470801247,154.66613762499765,main_2back,Main 2-back,2,0,929519_s_1.25,001,2026-02-05_15h54.57.894,2,1,2,2_back,60,1,45,45,43,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,688.3,0.6883,1,True,correct_rejection,0,0,0,1,0,0,0.8837,38,43,1.9944105420145206,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,688.3,1.25,1.25,0.0,0.75,2.0,during_stimulus,,['left'],1,None,154.66864533303306,154.6714319580351,154.6714319580351,154.90418908302672,[0.6882960419752635],[0.0991423330269754],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
45,0,45,None,['right'],1,None,[0.9027220410062],[0.10455754201393574],,1,0,1,0,0,0,0,0,,,,,45,0,45,0,154.91356250003446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.90591362502892,154.91356250003446,154.91861458367592,154.91356250003446,154.91356250003446,True,155.65188329201192,155.65188329201192,155.68033437500708,True,156.89706995803863,156.89947674999712,main_2back,Main 2-back,2,0,929519_s_1.25,001,2026-02-05_15h54.57.894,2,1,2,2_back,60,1,46,46,44,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,target,True,right,target_response,902.72,0.9027,1,True,hit,1,0,0,0,0,0,0.8864,39,44,1.9945475420099683,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,902.72,1.25,1.25,0.0,0.75,2.0,during_iti,0.1527,['right'],1,None,156.90215691702906,156.90508929203497,156.90508929203497,157.1373298750259,[0.9027220410062],[0.10455754201393574],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
46,0,46,None,['left'],0,None,[0.9388469170080498],[0.11547316599171609],,1,0,1,0,0,0,0,0,,,,,46,0,46,0,157.14705812500324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.1390215830179,157.14705812500324,157.15179162467055,157.14705812500324,157.14705812500324,True,157.886127417034,157.886127417034,157.91351858299458,True,159.1303317080019,159.13270520803053,main_2back,Main 2-back,2,0,929519_s_1.25,001,2026-02-05_15h54.57.894,2,1,2,2_back,60,1,47,47,45,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,target,True,left,non_target_response,938.85,0.9388,0,False,incorrect_rejection,0,1,0,0,0,0,0.8667,39,45,1.994613417016808,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,938.85,1.25,1.25,0.0,0.75,2.0,during_iti,0.1888,['left'],0,None,159.13632874999894,159.13941241701832,159.13941241701832,159.37050912500126,[0.9388469170080498],[0.11547316599171609],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
47,0,47,None,['left'],1,None,[0.9742951660300605],[0.11457824998069555],,1,0,1,0,0,0,0,0,,,,,47,0,47,0,159.38034583302215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.37355104199378,159.38034583302215,159.38498712465324,159.38034583302215,159.38034583302215,True,160.11861754202982,160.11861754202982,160.14696191699477,True,161.36374408303527,161.36615745798917,main_2back,Main 2-back,2,0,929519_s_1.25,001,2026-02-05_15h54.57.894,2,1,2,2_back,60,1,48,48,46,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,974.3,0.9743,1,True,correct_rejection,0,0,0,1,0,0,0.8696,40,46,1.9948461659951136,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,974.3,1.25,1.25,0.0,0.75,2.0,during_iti,0.2243,['left'],1,None,161.36986095801694,161.37290945800487,161.37290945800487,161.6045898750308,[0.9742951660300605],[0.11457824998069555],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
48,0,48,None,['right'],1,None,[0.7386444170260802],[0.0832586659817025],,1,0,1,0,0,0,0,0,,,,,48,0,48,0,161.61366587498924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.60625312500633,161.61366587498924,161.6190098336704,161.61366587498924,161.61366587498924,True,162.35211287502898,162.35211287502898,162.38011925003957,True,163.59700604202226,163.59956879203673,main_2back,Main 2-back,2,0,929519_s_1.25,001,2026-02-05_15h54.57.894,2,1,2,2_back,60,1,49,49,47,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,target,True,right,target_response,738.64,0.7386,1,True,hit,1,0,0,0,0,0,0.8723,41,47,1.9941889999900013,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,738.64,1.25,1.25,0.0,0.75,2.0,during_stimulus,,['right'],1,None,163.60192533303052,163.6049396250164,163.6049396250164,163.83839529199759,[0.7386444170260802],[0.0832586659817025],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
49,0,49,None,['left'],1,None,[0.5553454580367543],[0.12445716699585319],,1,0,1,0,0,0,0,0,,,,,49,0,49,0,163.84716925001703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.84075462503824,163.84716925001703,163.85256845865322,163.84716925001703,163.84716925001703,True,164.58565420802915,164.58565420802915,164.61890162504278,True,165.83042504201876,165.8329275000142,main_2back,Main 2-back,2,0,929519_s_1.25,001,2026-02-05_15h54.57.894,2,1,2,2_back,60,1,50,50,48,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,non-target,False,left,non_target_response,555.35,0.5553,1,True,correct_rejection,0,0,0,1,0,0,0.875,42,48,1.9937413340085186,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,555.35,1.25,1.25,0.0,0.75,2.0,during_stimulus,,['left'],1,None,165.83530704199802,165.83820141700562,165.83820141700562,166.07105362502625,[0.5553454580367543],[0.12445716699585319],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
50,0,50,None,['left'],1,None,[0.772244583000429],[0.13584904203889892],,1,0,1,0,0,0,0,0,,,,,50,0,50,0,166.08035916701192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.0727642920101,166.08035916701192,166.0855544997069,166.08035916701192,166.08035916701192,True,166.81910145800794,166.81910145800794,166.84705295803724,True,168.06378650001716,168.06622908299323,main_2back,Main 2-back,2,0,929519_s_1.25,001,2026-02-05_15h54.57.894,2,1,2,2_back,60,1,51,51,49,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,non-target,False,left,non_target_response,772.24,0.7722,1,True,correct_rejection,0,0,0,1,0,0,0.8776,43,49,1.9943993340129964,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,772.24,1.25,1.25,0.0,0.75,2.0,during_iti,0.0222,['left'],1,None,168.06863687501755,168.07161829201505,168.07161829201505,168.30466066702502,[0.772244583000429],[0.13584904203889892],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
51,0,51,None,['left'],1,None,[0.7054899170179851],[0.13230491697322577],,1,0,1,0,0,0,0,0,,,,,51,0,51,0,168.31374933302868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.30637900001602,168.31374933302868,168.31904366671031,168.31374933302868,168.31374933302868,True,169.05209087498952,169.05209087498952,169.08554991701385,True,170.29709637502674,170.30016337503912,main_2back,Main 2-back,2,0,929519_s_1.25,001,2026-02-05_15h54.57.894,2,1,2,2_back,60,1,52,52,50,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,705.49,0.7055,1,True,correct_rejection,0,0,0,1,0,0,0.88,44,50,1.994208250020165,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,705.49,1.25,1.25,0.0,0.75,2.0,during_stimulus,,['left'],1,None,170.30247425002744,170.3054387079901,170.3054387079901,170.5368104170193,[0.7054899170179851],[0.13230491697322577],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
52,0,52,None,['right'],1,None,[0.5450939579750411],[0.09522291697794572],,1,0,1,0,0,0,0,0,,,,,52,0,52,0,170.54706837498816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.5384866670356,170.54706837498816,170.55140091665479,170.54706837498816,170.54706837498816,True,171.28560754202772,171.28560754202772,171.31367620802484,True,172.53032137500122,172.53265720803756,main_2back,Main 2-back,2,0,929519_s_1.25,001,2026-02-05_15h54.57.894,2,1,2,2_back,60,1,53,53,51,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,right,target_response,545.09,0.5451,1,True,hit,1,0,0,0,0,0,0.8824,45,51,1.9951105419895612,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,545.09,1.25,1.25,0.0,0.75,2.0,during_stimulus,,['right'],1,None,172.5350157500361,172.53771475004032,172.53771475004032,172.77108570799464,[0.5450939579750411],[0.09522291697794572],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
53,0,53,None,['left'],1,None,[0.590033249987755],[0.11448304203804582],,1,0,1,0,0,0,0,0,,,,,53,0,53,0,172.78040754201356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.7733243330149,172.78040754201356,172.78568683367146,172.78040754201356,172.78040754201356,True,173.51872125000227,173.51872125000227,173.5514797079959,True,174.76374845800456,174.76618087501265,main_2back,Main 2-back,2,0,929519_s_1.25,001,2026-02-05_15h54.57.894,2,1,2,2_back,60,1,54,54,52,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,590.03,0.59,1,True,correct_rejection,0,0,0,1,0,0,0.8846,46,52,1.994292665971443,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,590.03,1.25,1.25,0.0,0.75,2.0,during_stimulus,,['left'],1,None,174.7684267500299,174.7713774170261,174.7713774170261,175.00406558299437,[0.590033249987755],[0.11448304203804582],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
54,0,54,None,['right'],0,None,[0.4749547090032138],[0.09618849999969825],,1,0,1,0,0,0,0,0,,,,,54,0,54,0,175.01368020800874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.00571783300256,175.01368020800874,175.01861062465858,175.01368020800874,175.01368020800874,True,175.75197737501003,175.75197737501003,175.79708516702522,True,176.99703845800832,176.99952116701752,main_2back,Main 2-back,2,0,929519_s_1.25,001,2026-02-05_15h54.57.894,2,1,2,2_back,60,1,55,55,53,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,right,target_response,474.95,0.475,0,False,false_alarm,0,0,0,0,1,0,0.8679,46,53,1.99462545895949,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,474.95,1.25,1.25,0.0,0.75,2.0,during_stimulus,,['right'],0,None,177.00295804202324,177.0059885000228,177.0059885000228,177.23719412501669,[0.4749547090032138],[0.09618849999969825],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
55,0,55,None,['left'],1,None,[1.0090856669703498],[0.12743637501262128],,1,0,1,0,0,0,0,0,,,,,55,0,55,0,177.2469595420407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.24021841702051,177.2469595420407,177.25162591669167,177.2469595420407,177.2469595420407,True,177.9853251670138,177.9853251670138,178.0137686250382,True,179.23029600002337,179.23277054203209,main_2back,Main 2-back,2,0,929519_s_1.25,001,2026-02-05_15h54.57.894,2,1,2,2_back,60,1,56,56,54,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,1009.09,1.0091,1,True,correct_rejection,0,0,0,1,0,0,0.8704,47,54,1.9947706669918261,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,1009.09,1.25,1.25,0.0,0.75,2.0,during_iti,0.2591,['left'],1,None,179.23625054198783,179.2392053329968,179.2392053329968,179.4700625000405,[1.0090856669703498],[0.12743637501262128],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
56,0,56,None,['left'],1,None,[0.7207447920227423],[0.10497641598340124],,1,0,1,0,0,0,0,0,,,,,56,0,56,0,179.48040462500649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.47184691700386,179.48040462500649,179.4843320417024,179.48040462500649,179.48040462500649,True,180.2190832500346,180.2190832500346,180.24694970803102,True,181.46376154199243,181.4662585000042,main_2back,Main 2-back,2,0,929519_s_1.25,001,2026-02-05_15h54.57.894,2,1,2,2_back,60,1,57,57,55,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,720.74,0.7207,1,True,correct_rejection,0,0,0,1,0,0,0.8727,48,55,1.995439832971897,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,720.74,1.25,1.25,0.0,0.75,2.0,during_stimulus,,['left'],1,None,181.46863979200134,181.4716238330002,181.4716238330002,181.7045281670289,[0.7207447920227423],[0.10497641598340124],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
57,0,57,None,['left'],1,None,[1.0894642079947516],[0.11858050001319498],,1,0,1,0,0,0,0,0,,,,,57,0,57,0,181.71361170802265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.70703225000761,181.71361170802265,181.71896495868376,181.71361170802265,181.71361170802265,True,182.45259762502974,182.45259762502974,182.48042487504426,True,183.69699079199927,183.69936679198872,main_2back,Main 2-back,2,0,929519_s_1.25,001,2026-02-05_15h54.57.894,2,1,2,2_back,60,1,58,58,56,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,1089.46,1.0895,1,True,correct_rejection,0,0,0,1,0,0,0.875,49,56,1.994056916970294,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,1089.46,1.25,1.25,0.0,0.75,2.0,during_iti,0.3395,['left'],1,None,183.70176399999764,183.70471945800819,183.70471945800819,183.93774895800743,[1.0894642079947516],[0.11858050001319498],,,,,,,,,,,,,,,,,,,,,,,,,,,929519_s_1.25,001,2026-02-05_15h54.57.894,n-back,2024.2.4,None,2026-02-05 15h55.11.861402 -0800,
