thisN,thisTrialN,thisRepN,force_end_of_routine_if_pressed_5.keys,key_resp.keys,key_resp.corr,force_advance_2.keys,key_resp.rt,key_resp.duration,force_end_of_routine_if_pressed_2.keys,phase_loop.thisRepN,phase_loop.thisTrialN,phase_loop.thisN,phase_loop.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,info_loop.thisRepN,info_loop.thisTrialN,info_loop.thisN,info_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Settings.started,Settings.stopped,exp_setting_logged,phase_0_name,phase_0_n_back_blocks,phase_0_trials_per_block,phase_0_num_blocks,phase_1_name,phase_1_n_back_blocks,phase_1_trials_per_block,phase_1_num_blocks,phase_2_name,phase_2_n_back_blocks,phase_2_trials_per_block,phase_2_num_blocks,phase_3_name,phase_3_n_back_blocks,phase_3_trials_per_block,phase_3_num_blocks,phase_4_name,phase_4_n_back_blocks,phase_4_trials_per_block,phase_4_num_blocks,phase_5_name,phase_5_n_back_blocks,phase_5_trials_per_block,phase_5_num_blocks,exp_num_phases,exp_iti_fixed,exp_iti_jitter_range,Information_about_block.started,text_2.started,force_advance.started,practice_indicator_sound.started,n_back_instructions.started,practice_indicator_sound.stopped,sound_to_match_if_0_back.started,sound_to_match_if_0_back.stopped,ir_zero_otherwise_press.started,ir_zero_otherwise_press.stopped,text_2.stopped,n_back_instructions.stopped,end_routine.started,press_to_continue_prompt.started,press_to_continue.started,Information_about_block.stopped,info_loop.end_routine.keys,info_loop.end_routine.rt,info_loop.end_routine.duration,info_loop.force_advance.keys,Countdown.started,text_countdown.started,force_end_of_routine_if_pressed_5.started,Countdown.stopped,block.force_end_of_routine_if_pressed_5.keys,n_back_trial.started,Intro.started,sound_1.started,key_resp.started,force_advance_2.started,audio_trigger_sent,text_iti_fixation.started,Intro.stopped,sound_1.stopped,audio_end_trigger_sent,text_iti_fixation.stopped,n_back_trial.stopped,phase_name,phase_display_name,phase_number,is_practice,participant_id,session,date,absolute_block_number,block_number_in_phase,n_back_level,block_type,trials_per_block,total_blocks_in_phase,trial_number_overall,trial_number_in_block,scorable_trial_number,is_baseline_trial,current_stimulus,target_stimulus,stimulus_frequency_hz,trial_type,is_match_trial,response_key,response_type,reaction_time_ms,reaction_time_s,correct,accuracy_binary,performance_category,hit,incorrect_rejection,miss_no_response_on_target,correct_rejection,false_alarm,no_response_on_non_target,running_accuracy,total_correct_so_far,scorable_trials_so_far,trial_onset_time,previous_stimulus_n1,previous_frequency_n1,previous_stimulus_n2,previous_frequency_n2,previous_stimulus_n3,previous_frequency_n3,num_responses,all_response_keys,all_response_times,iti_duration,iti_fixed_component,iti_jitter_component,stimulus_duration,total_trial_duration,response_period,response_time_into_iti,trials.key_resp.keys,trials.key_resp.corr,trials.force_advance_2.keys,Feedback_accuracy_RT.started,fb.started,rt_fb.started,Feedback_accuracy_RT.stopped,trials.key_resp.rt,trials.key_resp.duration,block_summary,block_final_accuracy,block_n_back_level,block_total_scorable_trials,block_total_correct,block_total_hits,block_total_incorrect_rejection,block_total_miss_no_response_on_target,block_total_misses,block_total_false_alarms,block_total_correct_rejections,block_total_no_response_on_non_target,block_hit_rate,block_false_alarm_rate,block_d_prime,Feedback_block.started,fb_2.started,force_end_of_routine_if_pressed_2.started,fb_sound.started,fb_sound.stopped,Feedback_block.stopped,block.force_end_of_routine_if_pressed_2.keys,text_countdown.stopped,exp_finished.started,text_instr.started,thank_you.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
39,0,39,None,['left'],0,None,[1.0469196250196546],[0.12379816599423066],,1,0,1,0,0,0,0,0,,,,,39,0,39,0,166.39452862500912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.386232666031,166.39452862500912,166.3988127076921,166.39452862500912,166.39452862500912,True,167.13275704102125,167.13275704102125,167.17786575003993,True,168.8778695410001,168.88024233304895,main_2back,Main 2-back,2,0,462892_s_1.75,001,2026-02-05_15h27.32.577,2,1,2,2_back,60,1,40,40,38,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,left,non_target_response,1046.92,1.0469,0,False,incorrect_rejection,0,1,0,0,0,0,0.8947,34,38,2.49499720800668,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,1046.92,1.75,1.75,0.0,0.75,2.5,during_iti,0.2969,['left'],0,None,168.88372237503063,168.88691545801703,168.88691545801703,169.11826408299385,[1.0469196250196546],[0.12379816599423066],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
40,0,40,None,['left'],1,None,[0.8967577500152402],[0.1117629999644123],,1,0,1,0,0,0,0,0,,,,,40,0,40,0,169.1277430000482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.12131108302856,169.1277430000482,169.13274037471663,169.1277430000482,169.1277430000482,True,169.8665185830323,169.8665185830323,169.8944166660076,True,171.61108900001273,171.61351229104912,main_2back,Main 2-back,2,0,462892_s_1.75,001,2026-02-05_15h27.32.577,2,1,2,2_back,60,1,41,41,39,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,896.76,0.8968,1,True,correct_rejection,0,0,0,1,0,0,0.8974,35,39,2.494455458014272,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,896.76,1.75,1.75,0.0,0.75,2.5,during_iti,0.1468,['left'],1,None,171.61695045803208,171.62008883303497,171.62008883303497,171.85173283301992,[0.8967577500152402],[0.1117629999644123],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
41,0,41,None,['left'],1,None,[1.2043944170000032],[0.10811987501801923],,1,0,1,0,0,0,0,0,,,,,41,0,41,0,171.86107450001873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.85343562503112,171.86107450001873,171.8662509166791,171.86107450001873,171.86107450001873,True,172.59918654104695,172.59918654104695,172.62785754102515,True,174.34445345803397,174.34688320802525,main_2back,Main 2-back,2,0,462892_s_1.75,001,2026-02-05_15h27.32.577,2,1,2,2_back,60,1,42,42,40,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,1204.39,1.2044,1,True,correct_rejection,0,0,0,1,0,0,0.9,36,40,2.4943662919686176,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,1204.39,1.75,1.75,0.0,0.75,2.5,during_iti,0.4544,['left'],1,None,174.3492937500123,174.35215995804174,174.35215995804174,174.58480383304413,[1.2043944170000032],[0.10811987501801923],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
42,0,42,None,['right'],1,None,[0.954446125018876],[0.12028425000607967],,1,0,1,0,0,0,0,0,,,,,42,0,42,0,174.59441499999957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.58674791600788,174.59441499999957,174.59912499966256,174.59441499999957,174.59441499999957,True,175.33272837504046,175.33272837504046,175.36110195802758,True,177.07774554099888,177.08009712502826,main_2back,Main 2-back,2,0,462892_s_1.75,001,2026-02-05_15h27.32.577,2,1,2,2_back,60,1,43,43,41,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,target,True,right,target_response,954.45,0.9544,1,True,hit,1,0,0,0,0,0,0.9024,37,41,2.4945607089903206,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,954.45,1.75,1.75,0.0,0.75,2.5,during_iti,0.2044,['right'],1,None,177.0825038329931,177.08551658299984,177.08551658299984,177.31771587504772,[0.954446125018876],[0.12028425000607967],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
43,0,43,None,['left'],1,None,[0.8984802500344813],[0.1014882079907693],,1,0,1,0,0,0,0,0,,,,,43,0,43,0,177.32773604104295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.31949216604698,177.32773604104295,177.3322243746991,177.32773604104295,177.32773604104295,True,178.0657965830178,178.0657965830178,178.0944242500118,True,179.81109329103492,179.81349000002956,main_2back,Main 2-back,2,0,462892_s_1.75,001,2026-02-05_15h27.32.577,2,1,2,2_back,60,1,44,44,42,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,non-target,False,left,non_target_response,898.48,0.8985,1,True,correct_rejection,0,0,0,1,0,0,0.9048,38,42,2.4949997499934398,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,898.48,1.75,1.75,0.0,0.75,2.5,during_iti,0.1485,['left'],1,None,179.8158715000027,179.81892537500244,179.81892537500244,180.0518327500322,[0.8984802500344813],[0.1014882079907693],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
44,0,44,None,['right'],1,None,[1.0724536670022644],[0.12052150000818074],,1,0,1,0,0,0,0,0,,,,,44,0,44,0,180.06062987504993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.0535044160206,180.06062987504993,180.06595037470495,180.06062987504993,180.06062987504993,True,180.79933066602098,180.79933066602098,180.82798954099417,True,182.54452391603263,182.5471223750501,main_2back,Main 2-back,2,0,462892_s_1.75,001,2026-02-05_15h27.32.577,2,1,2,2_back,60,1,45,45,43,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,target,True,right,target_response,1072.45,1.0725,1,True,hit,1,0,0,0,0,0,0.907,39,43,2.494449874968268,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,1072.45,1.75,1.75,0.0,0.75,2.5,during_iti,0.3225,['right'],1,None,182.54965770803392,182.55274758301675,182.55274758301675,182.78435879101744,[1.0724536670022644],[0.12052150000818074],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
45,0,45,None,['left'],1,None,[1.0148662920109928],[0.11646374996053055],,1,0,1,0,0,0,0,0,,,,,45,0,45,0,182.794458999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.78615766600706,182.794458999997,182.7986956666612,182.794458999997,182.794458999997,True,183.53263133304426,183.53263133304426,183.56094008299988,True,185.27764808299253,185.28010525001446,main_2back,Main 2-back,2,0,462892_s_1.75,001,2026-02-05_15h27.32.577,2,1,2,2_back,60,1,46,46,44,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,1014.87,1.0149,1,True,correct_rejection,0,0,0,1,0,0,0.9091,40,44,2.4950416249921545,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,1014.87,1.75,1.75,0.0,0.75,2.5,during_iti,0.2649,['left'],1,None,185.28257166600088,185.2854941660189,185.2854941660189,185.5183150410303,[1.0148662920109928],[0.11646374996053055],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
46,0,46,None,['left'],1,None,[1.1208319999859668],[0.11503279197495431],,1,0,1,0,0,0,0,0,,,,,46,0,46,0,185.5276670830208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.5200989160221,185.5276670830208,185.53275987471378,185.5276670830208,185.5276670830208,True,186.2662395410007,186.2662395410007,186.29445141600445,True,188.01105045800796,188.01349379104795,main_2back,Main 2-back,2,0,462892_s_1.75,001,2026-02-05_15h27.32.577,2,1,2,2_back,60,1,47,47,45,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,1120.83,1.1208,1,True,correct_rejection,0,0,0,1,0,0,0.9111,41,45,2.4944276249734685,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,1120.83,1.75,1.75,0.0,0.75,2.5,during_iti,0.3708,['left'],1,None,188.01587062503677,188.01891429099487,188.01891429099487,188.25184400001308,[1.1208319999859668],[0.11503279197495431],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
47,0,47,None,['left'],1,None,[0.87257879198296],[0.11566595803014934],,1,0,1,0,0,0,0,0,,,,,47,0,47,0,188.26108241599286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.25354537501698,188.26108241599286,188.26625333266955,188.26108241599286,188.26108241599286,True,188.99961366603384,188.99961366603384,189.02774754102575,True,190.74440262501594,190.7467800830491,main_2back,Main 2-back,2,0,462892_s_1.75,001,2026-02-05_15h27.32.577,2,1,2,2_back,60,1,48,48,46,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,872.58,0.8726,1,True,correct_rejection,0,0,0,1,0,0,0.913,42,46,2.4942157499608584,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,872.58,1.75,1.75,0.0,0.75,2.5,during_iti,0.1226,['left'],1,None,190.74933391599916,190.75247220799793,190.75247220799793,190.98533937503817,[0.87257879198296],[0.11566595803014934],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
48,0,48,None,['right'],1,None,[0.6219037920236588],[0.09978716599289328],,1,0,1,0,0,0,0,0,,,,,48,0,48,0,190.99446958303452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.9870255830465,190.99446958303452,190.99981833267182,190.99446958303452,190.99446958303452,True,191.73265275004087,191.73265275004087,191.7667295000283,True,193.4777787500061,193.48077120800735,main_2back,Main 2-back,2,0,462892_s_1.75,001,2026-02-05_15h27.32.577,2,1,2,2_back,60,1,49,49,47,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,target,True,right,target_response,621.9,0.6219,1,True,hit,1,0,0,0,0,0,0.9149,43,47,2.494208082964178,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,621.9,1.75,1.75,0.0,0.75,2.5,during_stimulus,,['right'],1,None,193.48301212501246,193.48613287502667,193.48613287502667,193.71934437501477,[0.6219037920236588],[0.09978716599289328],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
49,0,49,None,['left'],1,None,[0.8407057079602964],[0.11361900001065806],,1,0,1,0,0,0,0,0,,,,,49,0,49,0,193.72774241602747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.72118916601175,193.72774241602747,193.73357254168175,193.72774241602747,193.72774241602747,True,194.4609464580426,194.46623129100772,194.499455415993,True,196.19936900003813,196.21354258304927,main_2back,Main 2-back,2,0,462892_s_1.75,001,2026-02-05_15h27.32.577,2,1,2,2_back,60,1,50,50,48,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,non-target,False,left,non_target_response,840.71,0.8407,1,True,correct_rejection,0,0,0,1,0,0,0.9167,44,48,2.4934535829816014,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,840.71,1.75,1.75,0.0,0.75,2.5,during_iti,0.0907,['left'],1,None,196.21585258300183,196.21900841599563,196.21900841599563,196.4510695830104,[0.8407057079602964],[0.11361900001065806],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
50,0,50,None,['left'],1,None,[1.0215949999983422],[0.10789187502814457],,1,0,1,0,0,0,0,0,,,,,50,0,50,0,196.4611264160485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.454131333041,196.4611264160485,196.46542924968915,196.4611264160485,196.4611264160485,True,197.19892620801693,197.19892620801693,197.22773412504466,True,198.9444728330127,198.94697145803366,main_2back,Main 2-back,2,0,462892_s_1.75,001,2026-02-05_15h27.32.577,2,1,2,2_back,60,1,51,51,49,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,1021.59,1.0216,1,True,correct_rejection,0,0,0,1,0,0,0.9184,45,49,2.4951072920230217,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,1021.59,1.75,1.75,0.0,0.75,2.5,during_iti,0.2716,['left'],1,None,198.94955745805055,198.95251304103294,198.95251304103294,199.18518216599477,[1.0215949999983422],[0.10789187502814457],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
51,0,51,None,['left'],1,None,[1.0436465420061722],[0.12055429199244827],,1,0,1,0,0,0,0,0,,,,,51,0,51,0,199.19447129103355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.18688562500756,199.19447129103355,199.19966416666674,199.19447129103355,199.19447129103355,True,199.93302466603927,199.93302466603927,199.96109787502792,True,201.67791645799298,201.68044829100836,main_2back,Main 2-back,2,0,462892_s_1.75,001,2026-02-05_15h27.32.577,2,1,2,2_back,60,1,52,52,50,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,1043.65,1.0436,1,True,correct_rejection,0,0,0,1,0,0,0.92,46,50,2.494396749942098,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,1043.65,1.75,1.75,0.0,0.75,2.5,during_iti,0.2936,['left'],1,None,201.68273654102813,201.6858269580407,201.6858269580407,201.91803495801287,[1.0436465420061722],[0.12055429199244827],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
52,0,52,None,['left'],1,None,[1.0247802499798127],[0.10832758399192244],,1,0,1,0,0,0,0,0,,,,,52,0,52,0,201.9277982080239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.91979187499965,201.9277982080239,201.93212124967638,201.9277982080239,201.9277982080239,True,202.66543604101753,202.66543604101753,202.69437791605014,True,204.41106333304197,204.4136037499993,main_2back,Main 2-back,2,0,462892_s_1.75,001,2026-02-05_15h27.32.577,2,1,2,2_back,60,1,53,53,51,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,1024.78,1.0248,1,True,correct_rejection,0,0,0,1,0,0,0.9216,47,51,2.4946662499569356,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,1024.78,1.75,1.75,0.0,0.75,2.5,during_iti,0.2748,['left'],1,None,204.41605712502496,204.41907370800618,204.41907370800618,204.6521890410222,[1.0247802499798127],[0.10832758399192244],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
53,0,53,None,['left'],1,None,[0.9739377090008929],[0.108275540987961],,1,0,1,0,0,0,0,0,,,,,53,0,53,0,204.66113241604762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.65391108300537,204.66113241604762,204.66636370768927,204.66113241604762,204.66113241604762,True,205.39896408299683,205.39896408299683,205.43272983300267,True,207.14441220799927,207.14679966605036,main_2back,Main 2-back,2,0,462892_s_1.75,001,2026-02-05_15h27.32.577,2,1,2,2_back,60,1,54,54,52,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,973.94,0.9739,1,True,correct_rejection,0,0,0,1,0,0,0.9231,48,52,2.4938696669996716,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,973.94,1.75,1.75,0.0,0.75,2.5,during_iti,0.2239,['left'],1,None,207.14942020800663,207.15243966603884,207.15243966603884,207.38444433303084,[0.9739377090008929],[0.108275540987961],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
54,0,54,None,['left'],1,None,[0.8228973330114968],[0.11562716698972508],,1,0,1,0,0,0,0,0,,,,,54,0,54,0,207.3945058750105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.38751349999802,207.3945058750105,207.39884641667985,207.3945058750105,207.3945058750105,True,208.13269245804986,208.13269245804986,208.1610726660001,True,209.87831204099348,209.88150712504284,main_2back,Main 2-back,2,0,462892_s_1.75,001,2026-02-05_15h27.32.577,2,1,2,2_back,60,1,55,55,53,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,non-target,False,left,non_target_response,822.9,0.8229,1,True,correct_rejection,0,0,0,1,0,0,0.9245,49,53,2.4959199159638956,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,822.9,1.75,1.75,0.0,0.75,2.5,during_iti,0.0729,['left'],1,None,209.88390670804074,209.88764254102716,209.88764254102716,210.11743012501393,[0.8228973330114968],[0.11562716698972508],,,,,,,,,,,,,,,,,,,,,,,,,,,462892_s_1.75,001,2026-02-05_15h27.32.577,n-back,2024.2.4,None,2026-02-05 15h27.46.593443 -0800,
