thisN,thisTrialN,thisRepN,force_end_of_routine_if_pressed_5.keys,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,force_advance_2.keys,force_end_of_routine_if_pressed_2.keys,force_end_of_routine_if_pressed_2.rt,force_end_of_routine_if_pressed_2.duration,phase_loop.thisRepN,phase_loop.thisTrialN,phase_loop.thisN,phase_loop.thisIndex,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,info_loop.thisRepN,info_loop.thisTrialN,info_loop.thisN,info_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Settings.started,Settings.stopped,exp_setting_logged,phase_0_name,phase_0_n_back_blocks,phase_0_trials_per_block,phase_0_num_blocks,phase_1_name,phase_1_n_back_blocks,phase_1_trials_per_block,phase_1_num_blocks,phase_2_name,phase_2_n_back_blocks,phase_2_trials_per_block,phase_2_num_blocks,phase_3_name,phase_3_n_back_blocks,phase_3_trials_per_block,phase_3_num_blocks,phase_4_name,phase_4_n_back_blocks,phase_4_trials_per_block,phase_4_num_blocks,phase_5_name,phase_5_n_back_blocks,phase_5_trials_per_block,phase_5_num_blocks,exp_num_phases,exp_iti_fixed,exp_iti_jitter_range,Information_about_block.started,text_2.started,force_advance.started,practice_indicator_sound.started,n_back_instructions.started,practice_indicator_sound.stopped,n_back_instructions.stopped,sound_to_match_if_0_back.started,sound_to_match_if_0_back.stopped,ir_zero_otherwise_press.started,text_2.stopped,ir_zero_otherwise_press.stopped,end_routine.started,press_to_continue_prompt.started,press_to_continue.started,Information_about_block.stopped,info_loop.end_routine.keys,info_loop.end_routine.rt,info_loop.end_routine.duration,info_loop.force_advance.keys,Countdown.started,text_countdown.started,force_end_of_routine_if_pressed_5.started,Countdown.stopped,block.force_end_of_routine_if_pressed_5.keys,n_back_trial.started,Intro.started,sound_1.started,key_resp.started,force_advance_2.started,audio_trigger_sent,text_iti_fixation.started,Intro.stopped,sound_1.stopped,audio_end_trigger_sent,text_iti_fixation.stopped,n_back_trial.stopped,phase_name,phase_display_name,phase_number,is_practice,participant_id,session,date,absolute_block_number,block_number_in_phase,n_back_level,block_type,trials_per_block,total_blocks_in_phase,trial_number_overall,trial_number_in_block,scorable_trial_number,is_baseline_trial,current_stimulus,target_stimulus,stimulus_frequency_hz,trial_type,is_match_trial,response_key,response_type,reaction_time_ms,reaction_time_s,correct,accuracy_binary,performance_category,hit,incorrect_rejection,miss_no_response_on_target,correct_rejection,false_alarm,no_response_on_non_target,running_accuracy,total_correct_so_far,scorable_trials_so_far,trial_onset_time,previous_stimulus_n1,previous_frequency_n1,previous_stimulus_n2,previous_frequency_n2,previous_stimulus_n3,previous_frequency_n3,num_responses,all_response_keys,all_response_times,iti_duration,iti_fixed_component,iti_jitter_component,stimulus_duration,total_trial_duration,response_period,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.force_advance_2.keys,Feedback_accuracy_RT.started,fb.started,rt_fb.started,Feedback_accuracy_RT.stopped,block_summary,block_final_accuracy,block_n_back_level,block_total_scorable_trials,block_total_correct,block_total_hits,block_total_incorrect_rejection,block_total_miss_no_response_on_target,block_total_misses,block_total_false_alarms,block_total_correct_rejections,block_total_no_response_on_non_target,block_hit_rate,block_false_alarm_rate,block_d_prime,Feedback_block.started,fb_2.started,force_end_of_routine_if_pressed_2.started,fb_sound.started,fb_sound.stopped,Feedback_block.stopped,block.force_end_of_routine_if_pressed_2.keys,text_countdown.stopped,response_time_into_iti,block.force_end_of_routine_if_pressed_2.rt,block.force_end_of_routine_if_pressed_2.duration,exp_finished.started,text_instr.started,thank_you.started,thank_you.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
27,0,27,None,['right'],1,[0.3807435000198893],[0.14574624999659136],None,,,,1,0,1,0,0,0,0,0,,,,,27,0,27,0,142.47058262501378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.46754333301215,142.47058262501378,142.4803904996409,142.47058262501378,142.47058262501378,True,143.21373579202918,143.21828308299882,143.24706933298148,True,145.4509743329836,145.45391070801998,main_0back,Main 0-back,2,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,2,1,0,0_back,60,1,28,28,28,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,right,target_response,380.74,0.3807,1,True,hit,1,0,0,0,0,0,1.0,28,28,2.9869072919827886,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,380.74,2.25,2.25,0.0,0.75,3.0,during_stimulus,['right'],1,[0.3807435000198893],[0.14574624999659136],None,145.45626212499337,145.46369470801437,145.46369470801437,145.69909358298173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
28,0,28,None,['left'],1,[0.39871295902412385],[0.1315090410062112],None,,,,1,0,1,0,0,0,0,0,,,,,28,0,28,0,145.70548879198031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.70220595801948,145.70548879198031,145.71369008365244,145.70548879198031,145.70548879198031,True,146.44699687499087,146.4518599580042,146.48033504199702,True,148.68537770799594,148.6879897500039,main_0back,Main 0-back,2,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,2,1,0,0_back,60,1,29,29,29,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,398.71,0.3987,1,True,correct_rejection,0,0,0,1,0,0,1.0,29,29,2.987913709017448,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,398.71,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.39871295902412385],[0.1315090410062112],None,148.69054879201576,148.6970975419972,148.6970975419972,148.93236358300783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
29,0,29,None,['left'],1,[0.37534933298593387],[0.16068600001744926],None,,,,1,0,1,0,0,0,0,0,,,,,29,0,29,0,148.93697308300762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.9341292079771,148.93697308300762,148.94701958366593,148.93697308300762,148.93697308300762,True,149.68034550000448,149.68568358302582,149.7137776670279,True,151.91847258299822,151.92122041701805,main_0back,Main 0-back,2,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,2,1,0,0_back,60,1,30,30,30,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,375.35,0.3753,1,True,correct_rejection,0,0,0,1,0,0,1.0,30,30,2.9878368329955265,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,375.35,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.37534933298593387],[0.16068600001744926],None,151.92354120797245,151.93035650003003,151.93035650003003,152.16573004197562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
30,0,30,None,['right'],1,[0.4039697080152109],[0.1471868329681456],None,,,,1,0,1,0,0,0,0,0,,,,,30,0,30,0,152.1704195420025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.16755016701063,152.1704195420025,152.18034329166792,152.1704195420025,152.1704195420025,True,152.91370245802682,152.91821616701782,152.9470588330296,True,155.1515212500235,155.15432262502145,main_0back,Main 0-back,2,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,2,1,0,0_back,60,1,31,31,31,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,right,target_response,403.97,0.404,1,True,hit,1,0,0,0,0,0,1.0,31,31,2.9874160409672186,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,403.97,2.25,2.25,0.0,0.75,3.0,during_stimulus,['right'],1,[0.4039697080152109],[0.1471868329681456],None,155.15663004200906,155.16368387499824,155.16368387499824,155.39918925001984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
31,0,31,None,['left'],1,[0.40722941601416096],[0.1490807089721784],None,,,,1,0,1,0,0,0,0,0,,,,,31,0,31,0,155.40439829201205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.40141183300875,155.40439829201205,155.41381274967378,155.40439829201205,155.40439829201205,True,156.14706929202657,156.15237404202344,156.18042208300903,True,158.38465308299055,158.3875976250274,main_0back,Main 0-back,2,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,2,1,0,0_back,60,1,32,32,32,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,407.23,0.4072,1,True,correct_rejection,0,0,0,1,0,0,1.0,32,32,2.987164833000861,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,407.23,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.40722941601416096],[0.1490807089721784],None,158.39013933297247,158.39714770799037,158.39714770799037,158.63246125000296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
32,0,32,None,['left'],1,[0.46084824996069074],[0.15280550002353266],None,,,,1,0,1,0,0,0,0,0,,,,,32,0,32,0,158.638436542009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.63549229199998,158.638436542009,158.64713787468307,158.638436542009,158.638436542009,True,159.38041870802408,159.3858790419763,159.41378545801854,True,161.61845629202435,161.62128258298617,main_0back,Main 0-back,2,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,2,1,0,0_back,60,1,33,33,33,0,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,512,non-target,False,left,non_target_response,460.85,0.4608,1,True,correct_rejection,0,0,0,1,0,0,1.0,33,33,2.9876563330180943,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,460.85,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.46084824996069074],[0.15280550002353266],None,161.62365754198981,161.63036075001583,161.63036075001583,161.86571566702332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
33,0,33,None,['left'],1,[0.4418112499988638],[0.15547975001391023],None,,,,1,0,1,0,0,0,0,0,,,,,33,0,33,0,161.87038325000321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.8675449580187,161.87038325000321,161.8803559996925,161.87038325000321,161.87038325000321,True,162.61367895797594,162.61872995801969,162.64701370801777,True,164.8521235830267,164.85465283301892,main_0back,Main 0-back,2,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,2,1,0,0_back,60,1,34,34,34,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,441.81,0.4418,1,True,correct_rejection,0,0,0,1,0,0,1.0,34,34,2.9881356669939123,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,441.81,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.4418112499988638],[0.15547975001391023],None,164.85695933300303,164.86372491699876,164.86372491699876,165.09918645798462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
34,0,34,None,['left'],1,[0.43117683299351484],[0.13412266701925546],None,,,,1,0,1,0,0,0,0,0,,,,,34,0,34,0,165.1040225829929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.10089270799654,165.1040225829929,165.11383216665516,165.1040225829929,165.1040225829929,True,165.84696079202695,165.85197937500197,165.88037245802116,True,168.08528058300726,168.08803049998824,main_0back,Main 0-back,2,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,2,1,0,0_back,60,1,35,35,35,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,431.18,0.4312,1,True,correct_rejection,0,0,0,1,0,0,1.0,35,35,2.987796166969929,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,431.18,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.43117683299351484],[0.13412266701925546],None,168.090720416978,168.0971825000015,168.0971825000015,168.33239741699072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
35,0,35,None,['left'],1,[0.43341966695152223],[0.164989750017412],None,,,,1,0,1,0,0,0,0,0,,,,,35,0,35,0,168.336982082983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.33418612502282,168.336982082983,168.34703441668924,168.336982082983,168.336982082983,True,169.0803443749901,169.0850634999806,169.11367454199353,True,171.31848812499084,171.32120495801792,main_0back,Main 0-back,2,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,2,1,0,0_back,60,1,36,36,36,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,433.42,0.4334,1,True,correct_rejection,0,0,0,1,0,0,1.0,36,36,2.9877716659684666,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency512_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,433.42,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.43341966695152223],[0.164989750017412],None,171.3235865830211,171.33028837502934,171.33028837502934,171.56588374997955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
36,0,36,None,['right'],1,[0.5973950839834288],[0.15792987501481548],None,,,,1,0,1,0,0,0,0,0,,,,,36,0,36,0,171.5710404579877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.56817912502447,171.5710404579877,171.58043533366097,171.5710404579877,171.5710404579877,True,172.31368570798077,172.31834754202282,172.34705216699513,True,174.55193562502973,174.554850000015,main_0back,Main 0-back,2,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,2,1,0,0_back,60,1,37,37,37,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,right,target_response,597.4,0.5974,1,True,hit,1,0,0,0,0,0,1.0,37,37,2.9877370840404183,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,597.4,2.25,2.25,0.0,0.75,3.0,during_stimulus,['right'],1,[0.5973950839834288],[0.15792987501481548],None,174.55723733297782,174.56381025002338,174.56381025002338,174.7991974580218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
37,0,37,None,['left'],1,[0.4892687920364551],[0.15842862497083843],None,,,,1,0,1,0,0,0,0,0,,,,,37,0,37,0,174.80397216702113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.80084358301247,174.80397216702113,174.81381604168953,174.80397216702113,174.80397216702113,True,175.5471516670077,175.55192229198292,175.580347332987,True,177.78567225002917,177.78818816697458,main_0back,Main 0-back,2,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,2,1,0,0_back,60,1,38,38,38,0,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,256,non-target,False,left,non_target_response,489.27,0.4893,1,True,correct_rejection,0,0,0,1,0,0,1.0,38,38,2.9880933340173215,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,489.27,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.4892687920364551],[0.15842862497083843],None,177.7906571669737,177.79698683298193,177.79698683298193,178.032498207991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
38,0,38,None,['right'],1,[0.35213479201775044],[0.14498208300210536],None,,,,1,0,1,0,0,0,0,0,,,,,38,0,38,0,178.03732404200127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.0342787919799,178.03732404200127,178.0470884166464,178.03732404200127,178.03732404200127,True,178.7803759999806,178.7849607919925,178.81380654202076,True,181.01844625000376,181.02129679202335,main_0back,Main 0-back,2,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,2,1,0,0_back,60,1,39,39,39,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,right,target_response,352.13,0.3521,1,True,hit,1,0,0,0,0,0,1.0,39,39,2.987639583996497,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,352.13,2.25,2.25,0.0,0.75,3.0,during_stimulus,['right'],1,[0.35213479201775044],[0.14498208300210536],None,181.02358979202108,181.03034783300245,181.03034783300245,181.2657208329765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
39,0,39,None,['left'],1,[0.4642130419961177],[0.18273054104065523],None,,,,1,0,1,0,0,0,0,0,,,,,39,0,39,0,181.27120241697412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.26814904197818,181.27120241697412,181.2803762916631,181.27120241697412,181.27120241697412,True,182.01370829198277,182.01867041701917,182.04698683298193,True,184.2520646249759,184.25461470801383,main_0back,Main 0-back,2,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,2,1,0,0_back,60,1,40,40,40,0,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,880,non-target,False,left,non_target_response,464.21,0.4642,1,True,correct_rejection,0,0,0,1,0,0,1.0,40,40,2.9879525419673882,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,left,464.21,2.25,2.25,0.0,0.75,3.0,during_stimulus,['left'],1,[0.4642130419961177],[0.18273054104065523],None,184.25691945798462,184.26372212497517,184.26372212497517,184.4991129580303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
40,0,40,None,['right'],1,[0.5856687080231495],[0.11633624997921288],None,,,,1,0,1,0,0,0,0,0,,,,,40,0,40,0,184.50391775002936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.50088212499395,184.50391775002936,184.51376208366517,184.50391775002936,184.50391775002936,True,185.24701162497513,185.25190529198153,185.28034733299864,True,187.48553162498865,187.48798749997513,main_0back,Main 0-back,2,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,2,1,0,0_back,60,1,41,41,41,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,right,target_response,585.67,0.5857,1,True,hit,1,0,0,0,0,0,1.0,41,41,2.988068332953844,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency256_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,585.67,2.25,2.25,0.0,0.75,3.0,during_stimulus,['right'],1,[0.5856687080231495],[0.11633624997921288],None,187.4904650420067,187.49707204202423,187.49707204202423,187.7324569170014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
41,0,41,None,['right'],1,[0.4162540420074947],[0.13194370799465105],None,,,,1,0,1,0,0,0,0,0,,,,,41,0,41,0,187.73727912502363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.73435475002043,187.73727912502363,187.74711045867687,187.73727912502363,187.73727912502363,True,188.48031675000675,188.48495812498732,188.51362833299208,True,190.71822470799088,190.72099891700782,main_0back,Main 0-back,2,0,935772_jt_2.25,001,2026-02-04_15h24.14.988,2,1,0,0_back,60,1,42,42,42,0,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,128,target,True,right,target_response,416.25,0.4163,1,True,hit,1,0,0,0,0,0,1.0,42,42,2.987404458981473,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency880_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,sine_wave_frequency128_duration0.75s_tagging_frequency43Hz_modulation_depth1.0.wav,duration0.75s,1,right,416.25,2.25,2.25,0.0,0.75,3.0,during_stimulus,['right'],1,[0.4162540420074947],[0.13194370799465105],None,190.72331037500408,190.73046204197453,190.73046204197453,190.96582137502264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935772_jt_2.25,001,2026-02-04_15h24.14.988,n-back,2024.2.4,None,2026-02-04 15h24.29.205848 -0800,
